GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
LHX3,0.5,no,no,no,no,no,no,no,yes,no,1131
KLF3,0.5,no,no,no,no,no,no,no,yes,no,1132
MCF2L,0.5,no,no,no,no,no,no,no,yes,no,1133
SPON1,0.5,no,no,no,no,no,no,no,yes,no,1134
ESRRG,0.5,no,no,no,no,no,no,no,yes,no,1135
KMT2E,0.5,no,no,no,no,no,no,no,yes,no,1136
NUAK2,0.5,no,no,no,no,no,no,no,yes,no,1137
NID1,0.5,no,no,no,no,no,no,no,yes,no,1138
NCOR2,0.5,no,no,no,no,no,no,no,yes,no,1139
TIAL1,0.5,no,no,no,no,no,no,no,yes,no,1140
CASZ1,0.5,no,no,no,no,no,no,no,yes,no,1141
BCOR,0.5,no,no,no,no,no,no,no,yes,no,1142
RBM15B,0.5,no,no,no,no,no,no,no,yes,no,1143
E2F8,0.5,no,no,no,no,no,no,no,yes,no,1144
GBA2,0.5,no,no,no,no,no,no,no,yes,no,1145
ZNF276,0.5,no,no,no,no,no,no,no,yes,no,1146
MAPK8IP1,0.5,no,no,no,no,no,no,no,yes,no,1147
BRCA2,0.5,no,no,no,no,no,no,no,yes,no,1148
MEIS2,0.5,no,no,no,no,no,no,no,yes,no,1149
ATP6V0A2,0.5,no,yes,no,no,no,no,no,no,no,1150
CNTRL,0.5,no,no,no,no,no,no,no,yes,no,1151
MPPED1,0.5,no,no,no,no,no,no,no,yes,no,1152
SGMS2,0.5,no,no,no,no,no,no,no,yes,no,1153
NEU4,0.5,no,no,no,no,no,no,no,yes,no,1154
ANKRD17,0.5,no,no,no,no,no,no,no,yes,no,1155
SYNPO,0.5,no,no,no,no,no,no,no,yes,no,1156
TICRR,0.5,no,no,no,no,no,no,no,yes,no,1157
HOXA3,0.5,no,no,no,no,no,no,no,yes,no,1158
BCL9,0.5,no,no,no,no,no,no,no,yes,no,1159
FAAH,0.5,no,no,no,no,no,no,no,yes,no,1160
ATL2,0.5,no,no,no,no,no,no,no,yes,no,1161
THSD4,0.5,no,no,no,no,no,no,no,yes,no,1162
NKX6-1,0.5,no,no,no,no,no,no,no,yes,no,1163
SHANK1,0.5,no,no,no,no,no,no,no,yes,no,1164
DCDC2B,0.5,no,no,no,no,no,no,no,yes,no,1165
GPR137,0.5,no,no,no,no,no,no,no,yes,no,1166
FOXO6,0.5,no,no,no,no,no,no,no,yes,no,1167
VARS,0.5,no,no,no,no,no,no,no,yes,no,1168
ASXL2,0.5,no,no,no,no,no,no,no,yes,no,1169
EPPK1,0.5,no,no,no,no,no,no,no,yes,no,1170
TPRN,0.5,no,no,no,no,no,no,no,yes,no,1171
AKAP1,0.5,no,no,no,no,no,no,no,yes,no,1172
ACD,0.5,no,no,no,no,no,no,no,yes,no,1173
ZNF608,0.5,no,no,no,no,no,no,no,yes,no,1174
CANX,0.5,no,no,no,no,no,no,no,yes,no,1175
SOX18,0.5,no,no,no,no,no,no,no,yes,no,1176
GALNS,0.5,no,no,no,no,no,no,no,yes,no,1177
ZNF592,0.5,no,no,no,no,no,no,no,yes,no,1178
PCNX3,0.5,no,no,no,no,no,no,no,yes,no,1179
NCAPG,0.5,no,no,no,no,no,no,no,yes,no,1180
TMEM132E,0.5,no,no,no,no,no,no,no,yes,no,1181
GRIK4,0.5,no,no,no,no,no,no,no,yes,no,1182
ZMYM3,0.5,no,no,no,no,no,no,no,yes,no,1183
FAM46C,0.5,no,no,no,no,no,no,no,yes,no,1184
MCM4,0.5,no,no,no,no,no,no,no,yes,no,1185
EYA1,0.5,no,no,no,no,no,no,no,yes,no,1186
ERN1,0.5,no,no,no,no,no,no,no,yes,no,1187
NFATC1,0.5,no,no,no,no,no,no,no,yes,no,1188
ADGRA1,0.5,no,no,no,no,no,no,no,yes,no,1189
TENM4,0.5,no,no,no,no,no,no,no,yes,no,1190
ANKEF1,0.5,no,no,no,no,no,no,no,yes,no,1191
MYOF,0.5,no,no,no,no,no,no,no,yes,no,1192
MGA,0.5,no,no,no,no,no,no,no,yes,no,1193
DGKK,0.5,no,no,no,no,no,no,no,yes,no,1194
PPP1R13L,0.5,no,no,no,no,no,no,no,yes,no,1195
DNAH6,0.5,no,no,no,no,no,no,no,yes,no,1196
PREB,0.5,no,no,no,no,no,no,no,yes,no,1197
SGCE,0.5,no,no,no,no,no,no,no,yes,no,1198
FANCL,0.5,no,no,no,no,no,no,no,yes,no,1199
STK33,0.5,no,no,no,no,no,no,no,yes,no,1200
SHF,0.5,no,no,no,no,no,no,no,yes,no,1201
KIF1C,0.5,no,no,no,no,no,no,no,yes,no,1202
VCP,0.5,no,no,no,no,no,no,no,yes,no,1203
ATAD2,0.5,no,no,no,no,no,no,no,yes,no,1204
PEAR1,0.5,no,no,no,no,no,no,no,yes,no,1205
PHRF1,0.5,no,no,no,no,no,no,no,yes,no,1206
KIAA0319L,0.5,no,no,no,no,no,no,no,yes,no,1207
CFAP65,0.5,no,no,no,no,no,no,no,yes,no,1208
BCAN,0.5,no,no,no,no,no,no,no,yes,no,1209
REV3L,0.5,no,no,no,no,no,no,no,yes,no,1210
AHDC1,0.5,no,no,no,no,no,no,no,yes,no,1211
PROP1,0.5,no,no,no,no,no,no,no,yes,no,1212
ABCD1,0.5,no,no,no,no,no,no,no,yes,no,1213
SKOR2,0.5,no,no,no,no,no,no,no,yes,no,1214
ACOX3,0.5,no,no,no,no,no,no,no,yes,no,1215
LCORL,0.5,no,no,no,no,no,no,no,yes,no,1216
TRIM37,0.5,no,no,no,no,no,no,no,yes,no,1217
SENP7,0.5,no,yes,no,no,no,no,no,no,no,1218
HEMGN,0.5,no,yes,no,no,no,no,no,no,no,1219
C4A,0.5,no,yes,no,no,no,no,no,no,no,1220
C4B,0.5,no,yes,no,no,no,no,no,no,no,1221
SMCR8,0.5,no,yes,no,no,no,no,no,no,no,1222
IPO5,0.5,no,yes,no,no,no,no,no,no,no,1223
RANBP6,0.5,no,yes,no,no,no,no,no,no,no,1224
NEB,0.5,no,yes,no,no,no,no,no,no,no,1225
SPAG16,0.5,no,yes,no,no,no,no,no,no,no,1226
PER3,0.5,no,no,no,no,no,no,no,yes,no,1227
ADAMTS13,0.5,no,no,no,no,no,no,no,yes,no,1228
MORN1,0.5,no,no,no,no,no,no,no,yes,no,1229
DPYS,0.5,no,no,no,no,no,no,no,yes,no,1230
SPATA33,0.5,no,no,no,no,no,no,no,yes,no,1231
AKR1C4,0.5,no,no,no,no,no,no,no,yes,no,1232
CHCHD2,0.5,no,no,no,no,no,no,no,yes,no,1233
CHD3,0.5,no,no,no,no,no,no,no,yes,no,1234
B4GALNT3,0.5,no,no,no,no,no,no,no,yes,no,1235
TUFM,0.5,no,no,no,no,no,no,no,yes,no,1236
SPTLC3,0.5,no,no,no,no,no,no,no,yes,no,1237
FAM186A,0.5,no,no,no,no,no,no,no,yes,no,1238
EIF4G1,0.5,no,no,no,no,no,no,no,yes,no,1239
DUX4,0.5,no,no,no,no,no,no,no,yes,no,1240
ABCA8,0.5,no,no,no,no,no,no,no,yes,no,1241
ASH1L,0.5,no,no,no,no,no,no,no,yes,no,1242
SLC4A7,0.5,no,no,no,no,no,no,no,yes,no,1243
RIOX1,0.5,no,no,no,no,no,no,no,yes,no,1244
WASHC1,0.5,no,no,no,no,no,no,no,yes,no,1245
EMSY,0.5,no,no,no,no,no,no,no,yes,no,1246
DNAH7,0.5,no,no,no,no,no,no,no,yes,no,1247
TMEM255A,0.5,no,no,no,no,no,no,no,yes,no,1248
ESPN,0.5,no,no,no,no,no,no,no,yes,no,1249
SEC24B,0.5,no,no,no,no,no,no,no,yes,no,1250
SAMD15,0.5,no,no,no,no,no,no,no,yes,no,1251
PTTG2,0.5,no,no,no,no,no,no,no,yes,no,1252
CWC27,0.5,no,no,no,no,no,no,no,yes,no,1253
CYSRT1,0.5,no,no,no,no,no,no,no,yes,no,1254
BIRC6,0.5,no,no,no,no,no,no,no,yes,no,1255
KLF2,0.5,no,no,no,no,no,no,no,yes,no,1256
MUC16,0.5,no,no,no,no,no,no,no,yes,no,1257
HDAC4,0.5,no,no,no,no,no,no,no,yes,no,1258
DNAH5,0.5,no,no,no,no,no,no,no,yes,no,1259
DNAH8,0.5,no,no,no,no,no,no,no,yes,no,1260
TMEM255B,0.5,no,no,no,no,no,no,no,yes,no,1261
KRTAP12-2,0.5,no,no,no,no,no,no,no,yes,no,1262
PLEKHN1,0.5,no,no,no,no,no,no,no,yes,no,1263
CUEDC1,0.5,no,no,no,no,no,no,no,yes,no,1264
ZBTB4,0.5,no,no,no,no,no,no,no,yes,no,1265
TSEN2,0.5,no,no,no,no,no,no,no,yes,no,1266
C16orf46,0.5,no,no,no,no,no,no,no,yes,no,1267
CDKL5,0.5,no,no,no,no,no,no,no,yes,no,1268
SEC31A,0.5,no,no,no,no,no,no,no,yes,no,1269
CGGBP1,0.5,no,no,no,no,no,no,no,yes,no,1270
SLC47A2,0.5,no,no,no,no,no,no,no,yes,no,1271
DNAH11,0.5,no,no,no,no,no,no,no,yes,no,1272
WFIKKN1,0.5,no,no,no,no,no,no,no,yes,no,1273
LGALS8,0.5,no,no,no,no,no,no,no,yes,no,1274
TP53I13,0.5,no,no,no,no,no,no,no,yes,no,1275
SHE,0.5,no,no,no,no,no,no,no,yes,no,1276
PHKA2,0.5,no,no,no,no,no,no,no,yes,no,1277
ABI3BP,0.5,no,no,no,no,no,no,no,yes,no,1278
ANKRD11,0.5,no,no,no,no,no,no,no,yes,no,1279
ASCL5,0.5,no,no,no,no,no,no,no,yes,no,1280
B3GNT9,0.5,no,no,no,no,no,no,no,yes,no,1281
PTPN21,0.5,no,no,no,no,no,no,no,yes,no,1282
MYBPC3,0.5,no,no,no,no,no,no,no,yes,no,1283
TSPY4,0.5,no,no,no,no,no,no,no,yes,no,1284
KIAA1522,0.5,no,no,no,no,no,no,no,yes,no,1285
ZNF142,0.5,no,no,no,no,no,no,no,yes,no,1286
DCAF12L2,0.5,no,no,no,no,no,no,no,yes,no,1287
PRR27,0.5,no,no,no,no,no,no,no,yes,no,1288
CGNL1,0.5,no,no,no,no,no,no,no,yes,no,1289
PPP1R3E,0.5,no,no,no,no,no,no,no,yes,no,1290
RIPK2,0.5,no,no,no,no,no,no,no,yes,no,1291
OR2A14,0.5,no,no,no,no,no,no,no,yes,no,1292
PRDM13,0.5,no,no,no,no,no,no,no,yes,no,1293
TMEM218,0.5,no,no,no,no,no,no,no,yes,no,1294
MYO9B,0.5,no,no,no,no,no,no,no,yes,no,1295
PZP,0.5,no,no,no,no,no,no,no,yes,no,1296
C1QTNF8,0.5,no,no,no,no,no,no,no,yes,no,1297
SF1,0.5,no,no,no,no,no,no,no,yes,no,1298
MBD6,0.5,no,no,no,no,no,no,no,yes,no,1299
GC,0.5,no,no,no,no,no,no,no,yes,no,1300
TRIM64,0.5,no,no,no,no,no,no,no,yes,no,1301
GLTP,0.5,no,no,no,no,no,no,no,yes,no,1302
COX11,0.5,no,no,no,no,no,no,no,yes,no,1303
M1AP,0.5,no,no,no,no,no,no,no,yes,no,1304
TRIM64B,0.5,no,no,no,no,no,no,no,yes,no,1305
HNRNPUL1,0.5,no,no,no,no,no,no,no,yes,no,1306
SPATA5,0.5,no,no,no,no,no,no,no,yes,no,1307
ST6GALNAC1,0.5,no,no,no,no,no,no,no,yes,no,1308
CABYR,0.5,no,no,no,no,no,no,no,yes,no,1309
PIK3C2A,0.5,no,no,no,no,no,no,no,yes,no,1310
MDGA2,0.5,no,no,no,no,no,no,no,yes,no,1311
HTRA2,0.5,no,no,no,no,no,no,no,yes,no,1312
RIF1,0.5,no,no,no,no,no,no,no,yes,no,1313
SCNN1B,0.5,no,no,no,no,no,no,no,yes,no,1314
TMCC2,0.5,no,no,no,no,no,no,no,yes,no,1315
FAM186B,0.5,no,no,no,no,no,no,no,yes,no,1316
MAP3K8,0.5,no,no,no,no,no,no,no,yes,no,1317
PIEZO2,0.5,no,no,no,no,no,no,no,yes,no,1318
KIAA1210,0.5,no,no,no,no,no,no,no,yes,no,1319
SMURF2,0.5,no,no,no,no,no,no,no,yes,no,1320
MRPL9,0.5,no,no,no,no,no,no,no,yes,no,1321
EPN1,0.5,no,no,no,no,no,no,no,yes,no,1322
DYSF,0.5,no,no,no,no,no,no,no,yes,no,1323
TJP3,0.5,no,no,no,no,no,no,no,yes,no,1324
SEC24A,0.5,no,no,no,no,no,no,no,yes,no,1325
MPI,0.5,no,no,no,no,no,no,no,yes,no,1326
EPC2,0.5,no,no,no,no,no,no,no,yes,no,1327
PPP1R13B,0.5,no,no,no,no,no,no,no,yes,no,1328
TSPY8,0.5,no,no,no,no,no,no,no,yes,no,1329
OR2T4,0.5,no,no,no,no,no,no,no,yes,no,1330
PMEPA1,0.5,no,no,no,no,no,no,no,yes,no,1331
CHD6,0.5,no,no,no,no,no,no,no,yes,no,1332
LLGL2,0.5,no,no,no,no,no,no,no,yes,no,1333
PLA2G6,0.5,no,no,no,no,no,no,no,yes,no,1334
PRRC2A,0.5,no,no,no,no,no,no,no,yes,no,1335
SHISA8,0.5,no,no,no,no,no,no,no,yes,no,1336
OR4N4,0.5,no,no,no,no,no,no,no,yes,no,1337
CEACAM5,0.5,no,no,no,no,no,no,no,yes,no,1338
SMG7,0.5,no,no,no,no,no,no,no,yes,no,1339
DCAF12L1,0.5,no,no,no,no,no,no,no,yes,no,1340
ACSF2,0.5,no,no,no,no,no,no,no,yes,no,1341
VARS2,0.5,no,no,no,no,no,no,no,yes,no,1342
ECSIT,0.5,no,no,no,no,no,no,no,yes,no,1343
MEIS1,0.5,no,no,no,no,no,no,no,yes,no,1344
TSPY2,0.5,no,no,no,no,no,no,no,yes,no,1345
HOXC10,0.5,no,no,no,no,no,no,no,yes,no,1346
RNF219,0.5,no,no,no,no,no,no,no,yes,no,1347
ANKRD40,0.5,no,no,no,no,no,no,no,yes,no,1348
OR2T29,0.5,no,no,no,no,no,no,no,yes,no,1349
FIGNL2,0.5,no,no,no,no,no,no,no,yes,no,1350
OR4M2,0.5,no,no,no,no,no,no,no,yes,no,1351
AKR1C3,0.5,no,no,no,no,no,no,no,yes,no,1352
MINK1,0.5,no,no,no,no,no,no,no,yes,no,1353
NAB2,0.5,no,no,no,no,no,no,no,yes,no,1354
LGR6,0.5,no,no,no,no,no,no,no,yes,no,1355
C17orf47,0.5,no,no,no,no,no,no,no,yes,no,1356
TSPY1,0.5,no,no,no,no,no,no,no,yes,no,1357
PDZD2,0.5,no,no,no,no,no,no,no,yes,no,1358
DOCK4,0.5,no,no,no,no,no,no,no,yes,no,1359
ZC3H14,0.5,no,no,no,no,no,no,no,yes,no,1360
GCNT7,0.5,no,no,no,no,no,no,no,yes,no,1361
C16orf89,0.5,no,no,no,no,no,no,no,yes,no,1362
SETD1A,0.5,no,no,no,no,no,no,no,yes,no,1363
DCDC2C,0.5,no,no,no,no,no,no,no,yes,no,1364
MYO15A,0.5,no,no,no,no,no,no,no,yes,no,1365
OR4M1,0.5,no,no,no,no,no,no,no,yes,no,1366
APOOL,0.5,no,no,no,no,no,no,no,yes,no,1367
CLPTM1L,0.5,no,no,no,no,no,no,no,yes,no,1368
FCRL2,0.5,no,no,no,no,no,no,no,yes,no,1369
C1QTNF6,0.5,no,no,no,no,no,no,no,yes,no,1370
FAM46D,0.5,no,no,no,no,no,no,no,yes,no,1371
DISP3,0.5,no,no,no,no,no,no,no,yes,no,1372
OR2T5,0.5,no,no,no,no,no,no,no,yes,no,1373
BCL2L14,0.5,no,no,no,no,no,no,no,yes,no,1374
PCDH8,0.5,no,no,no,no,no,no,no,yes,no,1375
HELQ,0.5,no,no,no,no,no,no,no,yes,no,1376
KBTBD6,0.5,no,no,no,no,no,no,no,yes,no,1377
DNAH10,0.5,no,no,no,no,no,no,no,yes,no,1378
RGP1,0.5,no,no,no,no,no,no,no,yes,no,1379
CUL7,0.5,no,no,no,no,no,no,no,yes,no,1380
CECR2,0.5,no,no,no,no,no,no,no,yes,no,1381
DENND2D,0.5,no,no,no,no,no,no,no,yes,no,1382
COL28A1,0.5,no,no,no,no,no,no,no,yes,no,1383
UBAC2,0.5,no,no,no,no,no,no,no,yes,no,1384
C3orf67,0.5,no,no,no,no,no,no,no,yes,no,1385
MXRA5,0.5,no,no,no,no,no,no,no,yes,no,1386
SKOR1,0.5,no,no,no,no,no,no,no,yes,no,1387
OR4D2,0.5,no,no,no,no,no,no,no,yes,no,1388
USP4,0.5,no,no,no,no,no,no,no,yes,no,1389
CCDC116,0.5,no,no,no,no,no,no,no,yes,no,1390
TSPY10,0.5,no,no,no,no,no,no,no,yes,no,1391
ATP2A3,0.5,no,no,no,no,no,no,no,yes,no,1392
YLPM1,0.5,no,no,no,no,no,no,no,yes,no,1393
PGA5,0.5,no,no,no,no,no,no,no,yes,no,1394
ULK3,0.5,no,no,no,no,no,no,no,yes,no,1395
OR1C1,0.5,no,no,no,no,no,no,no,yes,no,1396
RBBP6,0.5,no,no,no,no,no,no,no,yes,no,1397
OR2D2,0.5,no,no,no,no,no,no,no,yes,no,1398
IQSEC2,0.5,no,no,no,no,no,no,no,yes,no,1399
