GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
ROBO1,3,yes,no,no,no,no,no,no,no,no,360
HMGB2,3,yes,no,no,no,no,no,no,no,no,361
GRB7,3,yes,no,no,no,no,no,no,no,no,362
CLDN8,3,yes,no,no,no,no,no,no,no,no,363
PRKACB,3,yes,no,no,no,no,no,no,no,no,364
LAMC1,3,yes,no,no,no,no,no,no,no,no,365
CDH13,3,yes,no,no,no,no,no,no,no,no,366
L1CAM,3,yes,no,no,no,no,no,no,no,no,367
LAMB3,3,yes,no,no,no,no,no,no,no,no,368
CLDN1,3,yes,no,no,no,no,no,no,no,no,369
LAMB1,3,yes,no,no,no,no,no,no,no,no,370
APC,3,yes,no,no,no,no,no,no,no,no,371
CDH15,3,yes,no,no,no,no,no,no,no,no,372
CDH5,3,yes,no,no,no,no,no,no,no,no,373
NEO1,3,yes,no,no,no,no,no,no,no,no,374
DOK4,3,yes,no,no,no,no,no,no,no,no,375
ARHGEF7,3,yes,no,no,no,no,no,no,no,no,376
DAB2,3,yes,no,no,no,no,no,no,no,no,377
RPS6KA1,3,yes,no,no,no,no,no,no,no,no,378
RPS6KA2,3,yes,no,no,no,no,no,no,no,no,379
DPYSL4,3,yes,no,no,no,no,no,no,no,no,380
DOK5,3,yes,no,no,no,no,no,no,no,no,381
NECTIN3,3,yes,no,no,no,no,no,no,no,no,382
COL4A5,3,yes,no,no,no,no,no,no,no,no,383
PRNP,3,yes,no,no,no,no,no,no,no,no,384
FKBP5,3,yes,no,no,no,no,no,no,no,no,385
OCLN,3,yes,no,no,no,no,no,no,no,no,386
TIAM1,3,yes,no,no,no,no,no,no,no,no,387
CDK5,3,yes,no,no,no,no,no,no,no,no,388
COL9A2,3,yes,no,no,no,no,no,no,no,no,389
COL9A3,3,yes,no,no,no,no,no,no,no,no,390
EPHA8,3,yes,no,no,no,no,no,no,no,no,391
COL6A2,3,yes,no,no,no,no,no,no,no,no,392
COL6A1,3,yes,no,no,no,no,no,no,no,no,393
NUMB,3,yes,no,no,no,no,no,no,no,no,394
PARVA,3,yes,no,no,no,no,no,no,no,no,395
ITSN1,3,yes,no,no,no,no,no,no,no,no,396
